City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
La Rioja,ES,42.25,-2.5,40.78,86,55,3.51,broken clouds
Hilo,US,19.7297,-155.09,77.25,94,0,5.75,light rain
Bambous Virieux,MU,-20.3428,57.7575,77.25,88,75,18.41,moderate rain
Hobart,AU,-42.8794,147.3294,48.06,85,100,18.41,light intensity shower rain
Dali,CN,25.7,100.1833,44.17,74,41,4.23,scattered clouds
Lodja,CD,-3.4833,23.4333,70.09,95,100,1.45,overcast clouds
Mocuba,MZ,-16.8392,36.9856,74.95,94,100,0.78,light rain
Punta Arenas,CL,-53.15,-70.9167,53.71,32,0,5.91,clear sky
Provideniya,RU,64.3833,-173.3,21.31,76,100,18.81,overcast clouds
Cherskiy,RU,68.75,161.3,-16.35,93,100,7.34,overcast clouds
Nouadhibou,MR,20.931,-17.0347,69.78,60,86,10.36,overcast clouds
Ushuaia,AR,-54.8,-68.3,49.62,49,40,25.32,scattered clouds
Flinders,AU,-34.5833,150.8552,61.38,84,5,9.48,clear sky
Iqaluit,CA,63.7506,-68.5145,11.93,67,100,10.36,overcast clouds
San Quintin,MX,30.4833,-115.95,61.83,54,100,10.0,overcast clouds
Khatanga,RU,71.9667,102.5,-28.1,89,6,12.1,clear sky
Port Alfred,ZA,-33.5906,26.891,68.18,94,1,4.0,clear sky
Vaini,TO,-21.2,-175.2,75.36,100,75,1.14,broken clouds
Witu,KE,-2.3889,40.4382,82.56,83,56,8.28,broken clouds
Boa Viagem,BR,-5.1275,-39.7322,94.96,20,13,7.72,few clouds
Puerto Ayora,EC,-0.7393,-90.3518,80.56,90,6,5.99,clear sky
Conceicao Da Barra,BR,-18.5933,-39.7322,78.91,75,99,8.88,light rain
Ancud,CL,-41.8697,-73.8203,57.97,96,98,20.67,moderate rain
Luderitz,NA,-26.6481,15.1594,61.25,81,0,12.91,clear sky
Victoria,HK,22.2855,114.1577,66.25,80,72,11.01,broken clouds
Raudeberg,NO,61.9875,5.1352,31.96,74,99,16.67,snow
Acarau,BR,-2.8856,-40.12,85.08,64,27,18.95,scattered clouds
Airai,TL,-8.9266,125.4092,58.66,72,86,1.48,overcast clouds
Kruisfontein,ZA,-34.0033,24.7314,67.89,79,63,12.53,broken clouds
Mataura,NZ,-46.1927,168.8643,52.16,74,100,4.34,light rain
Faya,SA,18.3851,42.4509,57.72,64,5,2.08,clear sky
Fort Nelson,CA,58.8053,-122.7002,-2.61,78,100,3.44,overcast clouds
Cape Town,ZA,-33.9258,18.4232,69.12,71,0,14.97,clear sky
New Norfolk,AU,-42.7826,147.0587,47.7,71,100,1.99,light rain
Yellowknife,CA,62.456,-114.3525,-19.44,69,20,8.05,few clouds
Lebu,CL,-37.6167,-73.65,64.02,80,89,16.22,overcast clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,88,75,8.05,light intensity drizzle
Una,IN,20.8167,71.0333,71.71,54,2,7.25,clear sky
Biloela,AU,-24.4167,150.5,74.16,60,36,3.27,scattered clouds
Albany,US,42.6001,-73.9662,57.22,90,100,2.13,overcast clouds
Busselton,AU,-33.65,115.3333,58.86,80,100,11.18,overcast clouds
Huntsville,US,34.7304,-86.5861,70.68,95,100,8.05,overcast clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,81,100,26.73,light rain
Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,40,12.66,scattered clouds
East London,ZA,-33.0153,27.9116,70.74,94,0,5.75,clear sky
Havelock,US,34.8791,-76.9013,75.97,72,75,6.91,broken clouds
Carnarvon,AU,-24.8667,113.6333,70.47,68,49,14.9,scattered clouds
Jamestown,US,42.097,-79.2353,46.04,77,100,4.0,fog
Yar-Sale,RU,66.8333,70.8333,10.09,96,100,6.62,overcast clouds
Meiktila,MM,20.8667,95.8667,68.09,67,2,3.33,clear sky
Xichang,CN,27.8964,102.2634,43.27,72,0,1.68,clear sky
Qaanaaq,GL,77.484,-69.3632,16.59,74,30,18.7,scattered clouds
Hasaki,JP,35.7333,140.8333,40.21,56,0,11.9,clear sky
Butaritari,KI,3.0707,172.7902,80.02,81,100,12.03,light rain
Barrow,US,71.2906,-156.7887,12.22,85,100,18.41,overcast clouds
Nome,US,64.5011,-165.4064,19.47,86,75,11.5,light snow
Fortuna,US,40.5982,-124.1573,46.98,90,40,8.05,scattered clouds
Tigil,RU,57.8,158.6667,6.53,91,100,4.36,overcast clouds
Yerbogachen,RU,61.2767,108.0108,12.33,92,100,13.35,light snow
Cabo San Lucas,MX,22.8909,-109.9124,85.6,74,20,4.61,few clouds
Tessaoua,NE,13.7574,7.9874,74.48,15,0,10.4,clear sky
Avarua,CK,-21.2078,-159.775,77.05,88,20,8.05,light rain
Georgetown,MY,5.4112,100.3354,81.23,93,20,0.0,few clouds
Santa Maria,BR,-29.6842,-53.8069,87.1,55,0,10.36,clear sky
Bluff,NZ,-46.6,168.3333,51.91,83,100,9.75,light rain
Hermanus,ZA,-34.4187,19.2345,65.8,85,9,1.54,clear sky
Te Anau,NZ,-45.4167,167.7167,55.38,78,100,3.13,moderate rain
Half Moon Bay,US,37.4636,-122.4286,56.53,86,0,5.75,clear sky
Nikolskoye,RU,59.7035,30.7861,22.91,88,100,11.88,overcast clouds
Atuona,PF,-9.8,-139.0333,77.9,72,5,19.37,clear sky
Padang,ID,-0.9492,100.3543,75.81,88,100,3.87,overcast clouds
Mae Hong Son,TH,19.3003,97.9685,74.3,81,86,0.89,overcast clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,90,100,12.97,overcast clouds
Lerwick,GB,60.1545,-1.1494,35.6,68,83,25.14,light rain
Popondetta,PG,-8.7537,148.2534,73.11,94,98,2.84,overcast clouds
Longyearbyen,SJ,78.2186,15.6401,22.84,68,40,10.36,light snow
Encruzilhada,BR,-15.5314,-40.9094,79.16,70,100,1.81,overcast clouds
Mount Isa,AU,-20.7333,139.5,82.17,32,6,3.44,light rain
Shihezi,CN,44.3,86.0333,8.49,93,75,3.58,broken clouds
Wad Rawah,SD,15.1603,33.1397,78.12,35,4,11.07,clear sky
Husavik,IS,66.0449,-17.3389,26.15,68,100,9.51,overcast clouds
Seoul,KR,37.5683,126.9778,31.44,90,0,2.3,clear sky
Ribeira Grande,PT,38.5167,-28.7,57.78,82,40,25.32,light rain
Phan Thiet,VN,10.9333,108.1,74.43,90,100,6.64,overcast clouds
Chuy,UY,-33.6971,-53.4616,80.49,42,5,12.44,clear sky
Pevek,RU,69.7008,170.3133,-6.2,97,100,4.25,light snow
Coquimbo,CL,-29.9533,-71.3436,67.73,68,20,9.22,few clouds
Saint-Philippe,RE,-21.3585,55.7679,76.59,86,36,12.95,light rain
Jumla,NP,29.2747,82.1838,39.09,27,0,5.08,clear sky
Souillac,MU,-20.5167,57.5167,77.38,88,75,18.41,light rain
Ilulissat,GL,69.2167,-51.1,33.82,64,75,13.8,broken clouds
Lompoc,US,34.6391,-120.4579,58.78,82,0,5.75,clear sky
