City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-10-25 17:30:28,-33.65,115.3333,50.86,84,4,1.5
1,Norman Wells,CA,2022-10-25 17:30:29,65.282,-126.8329,19.44,93,75,4.61
2,Kahului,US,2022-10-25 17:30:30,20.8947,-156.47,79.84,73,20,14.97
3,Ushuaia,AR,2022-10-25 17:30:30,-54.8,-68.3,47.82,57,0,6.91
4,Albany,US,2022-10-25 17:30:03,42.6001,-73.9662,67.78,94,100,1.99
5,Sehithwa,BW,2022-10-25 17:30:31,-20.4667,22.7167,89.69,22,12,4.81
6,Castro,BR,2022-10-25 17:30:32,-24.7911,-50.0119,76.35,47,19,3.67
7,Khatanga,RU,2022-10-25 17:30:32,71.9667,102.5,7.68,95,90,8.77
8,Souillac,MU,2022-10-25 17:30:33,-20.5167,57.5167,73.78,73,40,11.5
9,Pevek,RU,2022-10-25 17:30:34,69.7008,170.3133,0.79,92,18,8.23
10,Cidreira,BR,2022-10-25 17:30:34,-30.1811,-50.2056,69.17,65,17,13.8
11,Port Blair,IN,2022-10-25 17:26:18,11.6667,92.75,80.15,81,26,5.39
12,Ternate,ID,2022-10-25 17:30:35,0.8,127.4,81.79,80,92,4.54
13,Canavieiras,BR,2022-10-25 17:30:36,-15.675,-38.9472,72.01,91,100,1.61
14,Provideniya,RU,2022-10-25 17:30:38,64.3833,-173.3,22.12,87,92,12.57
15,Meulaboh,ID,2022-10-25 17:30:39,4.1363,96.1285,77.31,89,100,3.65
16,Hobart,AU,2022-10-25 17:27:56,-42.8794,147.3294,55.26,96,100,14.97
17,Lasa,IT,2022-10-25 17:25:46,46.6166,10.7002,56.28,84,72,2.73
18,Comodoro Rivadavia,AR,2022-10-25 17:30:40,-45.8667,-67.5,62.46,39,20,17.27
19,Hermanus,ZA,2022-10-25 17:30:41,-34.4187,19.2345,61.81,80,56,12.21
20,Ribeira Grande,PT,2022-10-25 17:30:41,38.5167,-28.7,66.6,63,40,10.36
21,Mehamn,NO,2022-10-25 17:30:42,71.0357,27.8492,35.55,69,100,6.91
22,Tuktoyaktuk,CA,2022-10-25 17:30:43,69.4541,-133.0374,12.2,92,75,3.44
23,Kampene,CD,2022-10-25 17:30:43,-3.6,26.6667,66.85,98,98,2.53
24,Thompson,CA,2022-10-25 17:30:44,55.7435,-97.8558,28.56,86,100,12.66
25,Kapaa,US,2022-10-25 17:30:44,22.0752,-159.319,79.12,87,40,13.8
26,Kavaratti,IN,2022-10-25 17:30:45,10.5669,72.642,82.6,60,40,9.75
27,Rikitea,PF,2022-10-25 17:30:46,-23.1203,-134.9692,72.91,77,70,20.85
28,Jamestown,US,2022-10-25 17:30:46,42.097,-79.2353,74.01,49,0,8.01
29,Touros,BR,2022-10-25 17:30:48,-5.1989,-35.4608,82.35,66,40,15.88
30,San Felipe,VE,2022-10-25 17:30:48,10.3399,-68.7425,92.3,44,90,1.45
31,Port Alfred,ZA,2022-10-25 17:30:49,-33.5906,26.891,65.17,81,96,7.0
32,Nanortalik,GL,2022-10-25 17:30:50,60.1432,-45.2371,35.19,73,7,5.93
