City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-10-21 19:13:09,-21.2,-175.2,73.56,88,100,10.36
1,Ushuaia,AR,2022-10-21 19:09:08,-54.8,-68.3,53.26,32,75,11.5
2,Rio Grande,BR,2022-10-21 19:13:10,-32.035,-52.0986,60.71,91,95,14.23
3,Torbay,CA,2022-10-21 19:13:10,47.6666,-52.7314,55.89,74,100,1.01
4,Bumba,CD,2022-10-21 19:13:11,2.1833,22.4667,73.2,89,100,2.55
5,Busselton,AU,2022-10-21 19:13:11,-33.65,115.3333,54.63,78,100,7.49
6,Jamestown,US,2022-10-21 19:13:12,42.097,-79.2353,63.99,34,0,16.11
7,Ambilobe,MG,2022-10-21 19:13:12,-13.2,49.05,71.31,77,12,4.61
8,Asyut,EG,2022-10-21 19:13:14,27.181,31.1837,74.61,36,0,9.19
9,East London,ZA,2022-10-21 19:13:14,-33.0153,27.9116,69.03,89,100,6.55
10,Avera,US,2022-10-21 19:13:14,33.194,-82.5271,69.55,26,4,1.81
11,Humaita,BR,2022-10-21 19:13:15,-7.5061,-63.0208,90.64,49,99,4.56
12,Iquitos,PE,2022-10-21 19:13:15,-3.7481,-73.2472,89.64,66,75,6.91
13,Sangar,RU,2022-10-21 19:13:16,63.9242,127.4739,14.27,96,100,2.66
14,San Patricio,US,2022-10-21 19:13:16,28.017,-97.5169,84.15,36,0,12.12
15,Kapaa,US,2022-10-21 19:13:17,22.0752,-159.319,82.38,77,75,12.66
16,Laguna,US,2022-10-21 19:13:17,38.421,-121.4238,85.08,46,0,6.91
17,Half Moon Bay,US,2022-10-21 19:13:18,37.4636,-122.4286,75.81,74,100,10.36
18,Castro,BR,2022-10-21 19:13:18,-24.7911,-50.0119,66.33,89,65,10.27
19,Haines Junction,CA,2022-10-21 19:13:19,60.7522,-137.5108,36.68,96,100,2.01
20,Carnarvon,AU,2022-10-21 19:13:19,-24.8667,113.6333,66.51,79,34,14.58
21,Goderich,CA,2022-10-21 19:13:19,43.7501,-81.7165,60.91,58,0,24.09
22,Airai,TL,2022-10-21 19:13:20,-8.9266,125.4092,61.63,85,97,0.74
23,Kodiak,US,2022-10-21 19:11:07,57.79,-152.4072,47.71,49,20,10.36
24,Tevaitoa,PF,2022-10-21 19:13:21,-16.7833,-151.5,79.32,76,13,18.25
25,Mocuba,MZ,2022-10-21 19:13:21,-16.8392,36.9856,74.16,78,5,3.27
26,Noshiro,JP,2022-10-21 19:13:22,40.2039,140.0242,63.81,81,43,16.33
27,Ketchikan,US,2022-10-21 19:13:22,55.3422,-131.6461,48.67,81,75,4.61
28,Bastrop,US,2022-10-21 19:08:28,32.7562,-91.8724,83.88,40,0,9.22
29,Nikolskoye,RU,2022-10-21 19:13:23,59.7035,30.7861,42.69,92,100,2.98
30,Chokurdakh,RU,2022-10-21 19:13:24,70.6333,147.9167,12.25,94,100,12.8
31,Khatanga,RU,2022-10-21 19:13:24,71.9667,102.5,4.59,96,87,2.44
32,Shenjiamen,CN,2022-10-21 19:13:24,29.9576,122.298,69.15,85,2,4.63
33,Isangel,VU,2022-10-21 19:13:25,-19.55,169.2667,74.1,79,99,15.52
34,Port Lincoln,AU,2022-10-21 19:11:28,-34.7333,135.8667,56.57,86,100,5.14
35,Hilo,US,2022-10-21 19:13:26,19.7297,-155.09,85.28,72,40,4.61
36,Sao Filipe,CV,2022-10-21 19:13:27,14.8961,-24.4956,79.05,77,6,6.35
37,Hithadhoo,MV,2022-10-21 19:13:27,-0.6,73.0833,80.8,78,100,9.78
38,Mataura,NZ,2022-10-21 19:13:27,-46.1927,168.8643,37.99,82,7,1.79
39,Kargasok,RU,2022-10-21 19:13:28,59.0556,80.8572,38.14,93,94,10.6
40,Sitka,US,2022-10-21 19:11:08,57.0531,-135.33,48.09,81,75,5.75
41,Hafizabad,PK,2022-10-21 19:13:29,32.0679,73.6854,69.44,37,0,4.12
